# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 301.376 -17053.7 -43.0485
3000 299.202 -17210.4 25.7672
4000 300.646 -17151.7 -34.9547
5000 299.91 -17159.2 28.7743
6000 299.686 -17187.9 -16.7227
7000 299.931 -17176.4 35.8318
8000 300.222 -17183.5 -21.1428
9000 300.483 -17188.3 14.5731
10000 298.841 -17224 19.3866
11000 298.932 -17273.7 -26.164
12000 300.632 -17185.3 28.5042
13000 299.937 -17160.3 -19.6974
14000 298.8 -17165 20.2837
15000 300.812 -17143.1 -25.2156
16000 299.773 -17164.9 11.3526
17000 301.156 -17139.2 9.09874
18000 301.106 -17125.5 -21.5927
19000 300.884 -17129.8 32.103
20000 299.894 -17189.9 -16.1353
21000 300.212 -17211.8 11.9026
22000 299.49 -17220.4 4.94653
23000 299.828 -17167.8 8.66063
24000 299.201 -17203.3 1.17617
25000 302.271 -17201.5 -0.105741
26000 299.521 -17184.8 9.92376
27000 299.296 -17206.3 -23.7508
28000 299.433 -17213.6 14.4491
29000 299.999 -17209.8 -26.4017
30000 301.423 -17152.8 40.1609
31000 299.989 -17185.1 -41.4522
32000 299.189 -17231.7 52.5578
33000 298.796 -17224.6 -26.5675
34000 300.251 -17191.5 12.5677
35000 300.724 -17158.1 8.65896
36000 300.824 -17188.7 -15.2752
37000 299.071 -17218.9 51.5113
38000 300.304 -17168.6 -33.3892
39000 301.072 -17209.7 19.7931
40000 300.457 -17233.1 -34.4344
41000 301.4 -17180.8 42.4801
42000 300.515 -17201 -18.7332
43000 297.596 -17267.1 17.9059
44000 300.175 -17162.2 -1.35114
45000 298.06 -17213.1 17.0319
46000 299.501 -17233 -6.3042
47000 300.537 -17193.7 22.614
48000 299.788 -17178.7 -7.77106
49000 298.885 -17219.8 2.85854
50000 299.035 -17211.6 -14.8319
51000 299.182 -17179.3 -4.89974
52000 299.398 -17211 7.75458
53000 298.851 -17204.3 7.92146
54000 299.333 -17216.2 3.73021
55000 298.777 -17194 9.23986
56000 299.117 -17221.2 -3.24487
57000 300.581 -17182 -16.8147
58000 301.459 -17160.9 -25.3031
59000 299.445 -17202.7 14.7603
60000 300.231 -17174 -5.86587
61000 299.985 -17191 13.0706
62000 300.001 -17188.3 -36.7737
63000 299.75 -17159.9 25.3402
64000 298.834 -17217.1 1.46297
65000 300.246 -17173 -14.913
66000 300.358 -17151.7 21.4952
67000 300.172 -17170.2 -44.5361
68000 299.781 -17206.9 15.9218
69000 300.53 -17201.7 -14.3087
70000 299.199 -17220.2 7.83957
71000 298.626 -17199.8 -6.1597
72000 298.562 -17222.2 19.6197
73000 299.931 -17225.9 -12.1204
74000 300.287 -17131.8 -27.7645
75000 300.519 -17180 46.3669
76000 299.776 -17207.7 -45.1954
77000 299.803 -17216.2 49.6832
78000 300.493 -17224.1 -32.9053
79000 300.861 -17188.9 34.0055
80000 300.44 -17193.8 -3.64909
81000 298.985 -17166.5 4.59294
82000 300.666 -17132.2 20.3435
83000 299.514 -17203.3 -19.38
84000 299.29 -17226.7 14.5254
85000 299.061 -17184.6 -17.8986
86000 298.884 -17174.2 27.6125
87000 300.418 -17146.4 -35.995
88000 298.935 -17147.9 40.8953
89000 301.819 -17121.3 -46.8973
90000 297.965 -17217.2 25.5599
91000 300.763 -17145 6.0531
92000 300.734 -17131.5 -3.47869
93000 298.804 -17194.8 22.654
94000 300.132 -17158.4 -8.90548
95000 299.694 -17156 26.3733
96000 299.667 -17215.2 8.24413
97000 300.29 -17148.9 -4.90683
98000 299.677 -17191.4 26.8614
99000 300.608 -17147.8 -28.9328
100000 300.295 -17147 30.4082
101000 300.618 -17171.6 -5.89019
102000 299.265 -17221.4 11.198
103000 300.203 -17229.1 -12.1477
104000 298.407 -17227.5 3.3989
105000 300.52 -17225.4 -0.185043
106000 300.296 -17185.8 -6.10273
107000 298.863 -17146.4 22.0432
108000 299.744 -17183.5 -28.4041
109000 299.531 -17181.1 30.3342
110000 301.229 -17130.3 -21.4207
111000 299.371 -17188.3 12.8776
112000 301.859 -17139 18.3553
113000 299.38 -17155.1 -25.1451
114000 299.131 -17141.1 18.3659
115000 299.9 -17160.8 -22.8647
116000 299.454 -17192.9 26.6211
117000 299.604 -17191.1 -33.3668
118000 298.909 -17180.7 31.1966
119000 300.335 -17150.1 -24.7474
120000 300.785 -17162.4 14.6419
121000 299.142 -17191.6 10.9453
122000 301.646 -17149.3 -30.6409
123000 301.842 -17141.3 19.7445
124000 299.276 -17184.5 -21.6613
125000 298.091 -17166.5 21.1903
126000 301.318 -17119.5 -30.6154
127000 299.589 -17191.2 9.97261
128000 299.903 -17161.4 -6.79157
129000 299.445 -17172.1 2.40062
130000 299.32 -17127.4 4.46102
131000 299.911 -17174.1 -18.2063
132000 298.934 -17171.5 22.9422
133000 299.343 -17193.8 -42.4776
134000 301.553 -17206.2 26.1968
135000 299.464 -17181.3 -2.89808
136000 301.649 -17126 -6.89494
137000 300.898 -17159.8 5.50672
138000 300.358 -17200.6 16.2159
